timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1721221784352,180,1_launch_website-105 - /pinterestConversion,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-3,,true,,367,1349,5,5,https://stash.webstaurantstore.com/pinterestConversion,0,0,0
1721221785176,106,1_launch_website-118 /api/shoppingcart/items,200,,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,1587,1460,5,5,https://www.webstaurantstore.com/api/shoppingcart/items,106,0,0
1721221730831,2314,A_launch_website (Outlet),200,"Number of samples in transaction : 11, number of failing samples : 0",bzm - Concurrency Thread Group-ThreadStarter 1-2,,true,,130340,14564,5,5,null,1537,52138,94
1721221785323,156,1_launch_website-84 - /api:edgecache/getdynamicdata/,200,,bzm - Concurrency Thread Group-ThreadStarter 1-5,text,true,,3301,1494,5,5,https://www.webstaurantstore.com/api:edgecache/getdynamicdata/?referer=&ltid=&dlid=&link=,156,0,0
1721221786167,93,2_selectproduct category-641 - /api/shoppingcart/items,200,,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,1581,1460,5,5,https://www.webstaurantstore.com/api/shoppingcart/items,93,0,0
1721221787150,69,1_launch_website-99  -/pinterestConversion,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-4,,true,,478,823,5,5,https://stash.webstaurantstore.com/pinterestConversion,0,0,0
1721221787984,273,2_selectproduct category-645 - /pinterestConversion,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-1,,true,,367,1349,5,5,https://stash.webstaurantstore.com/pinterestConversion,0,0,0
1721221788967,271,1_launch_website-103 - /facebookConversion,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-3,,true,,367,1955,5,5,https://stash.webstaurantstore.com/facebookConversion,0,0,0
1721221789937,128,1_launch_website-100 - /PageView,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-5,,true,,478,812,5,5,https://stash.webstaurantstore.com/PageView,0,0,56
1721221790782,295,2_selectproduct category-644 - /facebookConversion,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-2,,true,,367,1955,5,5,https://stash.webstaurantstore.com/facebookConversion,0,0,0
1721221791765,67,1_launch_website-102 - /PageView,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-4,,true,,367,1299,5,5,https://stash.webstaurantstore.com/PageView,0,0,0
1721221792599,766,2_selectproduct category-672 - /outlet.html,200,,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,100162,1658,5,5,https://www.webstaurantstore.com/outlet.html?category=351gcpg12m,718,0,70
1721221794552,56,1_launch_website-98 - /facebookConversion,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-5,,true,,478,822,5,5,https://stash.webstaurantstore.com/facebookConversion,0,0,0
1721221795399,137,2_selectproduct category-647 - /PageView,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-2,,true,,367,1359,5,5,https://stash.webstaurantstore.com/PageView,0,0,0
1721221796380,170,1_launch_website-105 - /pinterestConversion,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-4,,true,,367,1349,5,5,https://stash.webstaurantstore.com/pinterestConversion,0,0,0
1721221797216,32,2_selectproduct category-677 - /uploads/images/2018/3/fontello.woff2,200,,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,14697,1535,5,5,https://www.webstaurantstore.com/uploads/images/2018/3/fontello.woff2,31,0,0
1721221797219,76,1_launch_website-118 /api/shoppingcart/items,200,,bzm - Concurrency Thread Group-ThreadStarter 1-3,text,true,,1581,1460,5,5,https://www.webstaurantstore.com/api/shoppingcart/items,76,0,0
1721221742864,1779,A_launch_website (Outlet),200,"Number of samples in transaction : 11, number of failing samples : 0",bzm - Concurrency Thread Group-ThreadStarter 1-3,,true,,130264,14564,5,5,null,958,52652,155
1721221798198,73,2_selectproduct category-641 - /api/shoppingcart/items,200,,bzm - Concurrency Thread Group-ThreadStarter 1-3,text,true,,1581,1460,5,5,https://www.webstaurantstore.com/api/shoppingcart/items,73,0,0
1721221799168,52,1_launch_website-99  -/pinterestConversion,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-5,,true,,478,823,5,5,https://stash.webstaurantstore.com/pinterestConversion,0,0,0
1721221800014,257,2_selectproduct category-645 - /pinterestConversion,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-2,,true,,367,1349,5,5,https://stash.webstaurantstore.com/pinterestConversion,0,0,0
1721221800997,243,1_launch_website-103 - /facebookConversion,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-4,,true,,367,1955,5,5,https://stash.webstaurantstore.com/facebookConversion,0,0,0
1721221801830,79,2_selectproduct category-690 - /api/pagecreatorbanner,200,,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,600,1479,5,5,https://www.webstaurantstore.com/api/pagecreatorbanner,79,0,0
1721221802813,254,2_selectproduct category-644 - /facebookConversion,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-3,,true,,367,1955,5,5,https://stash.webstaurantstore.com/facebookConversion,0,0,0
1721221803783,90,1_launch_website-102 - /PageView,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-5,,true,,367,1299,5,5,https://stash.webstaurantstore.com/PageView,0,0,0
1721221804628,947,2_selectproduct category-672 - /outlet.html,200,,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,99968,1657,5,5,https://www.webstaurantstore.com/outlet.html?category=423est3wo,871,0,47
1721221806445,156,2_selectproduct category-702 - /api:edgecache/getdynamicdata/,200,,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,3291,1566,5,5,https://www.webstaurantstore.com/api:edgecache/getdynamicdata/?referer=https%3A%2F%2Fwww.webstaurantstore.com%2Foutlet.html&ltid=&dlid=&link=,155,0,0
1721221807427,72,2_selectproduct category-647 - /PageView,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-3,,true,,367,1359,5,5,https://stash.webstaurantstore.com/PageView,0,0,0
1721221808399,197,1_launch_website-105 - /pinterestConversion,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-5,,true,,367,1349,5,5,https://stash.webstaurantstore.com/pinterestConversion,0,0,0
1721221809242,47,2_selectproduct category-677 - /uploads/images/2018/3/fontello.woff2,200,,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,14697,1534,5,5,https://www.webstaurantstore.com/uploads/images/2018/3/fontello.woff2,46,0,0
1721221809248,115,1_launch_website-118 /api/shoppingcart/items,200,,bzm - Concurrency Thread Group-ThreadStarter 1-4,text,true,,1581,1460,5,5,https://www.webstaurantstore.com/api/shoppingcart/items,115,0,0
1721221754883,1950,A_launch_website (Outlet),200,"Number of samples in transaction : 11, number of failing samples : 0",bzm - Concurrency Thread Group-ThreadStarter 1-4,,true,,130238,14564,5,5,null,1183,52531,97
1721221810227,161,2_selectproduct category-641 - /api/shoppingcart/items,200,,bzm - Concurrency Thread Group-ThreadStarter 1-4,text,true,,1581,1460,5,5,https://www.webstaurantstore.com/api/shoppingcart/items,160,0,0
1721221811060,101,2_selectproduct category-704 - /api/shoppingcart/items,200,,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,1581,1480,5,5,https://www.webstaurantstore.com/api/shoppingcart/items,101,0,0
1721221812044,208,2_selectproduct category-645 - /pinterestConversion,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-3,,true,,367,1349,5,5,https://stash.webstaurantstore.com/pinterestConversion,0,0,0
1721221813013,235,1_launch_website-103 - /facebookConversion,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-5,,true,,367,1955,5,5,https://stash.webstaurantstore.com/facebookConversion,0,0,0
1721221813859,93,2_selectproduct category-690 - /api/pagecreatorbanner,200,,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,600,1478,5,5,https://www.webstaurantstore.com/api/pagecreatorbanner,93,0,0
1721221814841,304,2_selectproduct category-644 - /facebookConversion,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-4,,true,,367,1955,5,5,https://stash.webstaurantstore.com/facebookConversion,0,0,0
1721221815674,118,2_selectproduct category-711 - /PageView,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-1,,true,,367,1363,5,5,https://stash.webstaurantstore.com/PageView,0,0,45
1721221816659,665,2_selectproduct category-672 - /outlet.html,200,,bzm - Concurrency Thread Group-ThreadStarter 1-3,text,true,,100100,1658,5,5,https://www.webstaurantstore.com/outlet.html?category=214mdscdp9,612,0,38
1721221818472,184,2_selectproduct category-702 - /api:edgecache/getdynamicdata/,200,,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,3297,1565,5,5,https://www.webstaurantstore.com/api:edgecache/getdynamicdata/?referer=https%3A%2F%2Fwww.webstaurantstore.com%2Foutlet.html&ltid=&dlid=&link=,184,0,0
1721221819455,131,2_selectproduct category-647 - /PageView,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-4,,true,,367,1359,5,5,https://stash.webstaurantstore.com/PageView,0,0,0
1721221820290,215,2_selectproduct category-710 - /pinterestConversion,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-1,,true,,367,1369,5,5,https://stash.webstaurantstore.com/pinterestConversion,0,0,0
1721221821273,42,2_selectproduct category-677 - /uploads/images/2018/3/fontello.woff2,200,,bzm - Concurrency Thread Group-ThreadStarter 1-3,text,true,,14697,1535,5,5,https://www.webstaurantstore.com/uploads/images/2018/3/fontello.woff2,42,0,0
1721221821251,134,1_launch_website-118 /api/shoppingcart/items,200,,bzm - Concurrency Thread Group-ThreadStarter 1-5,text,true,,1587,1460,5,5,https://www.webstaurantstore.com/api/shoppingcart/items,134,0,0
1721221766932,1944,A_launch_website (Outlet),200,"Number of samples in transaction : 11, number of failing samples : 0",bzm - Concurrency Thread Group-ThreadStarter 1-5,,true,,130430,14564,5,5,null,1119,52508,168
1721221822244,197,2_selectproduct category-641 - /api/shoppingcart/items,200,,bzm - Concurrency Thread Group-ThreadStarter 1-5,text,true,,1581,1460,5,5,https://www.webstaurantstore.com/api/shoppingcart/items,196,0,0
1721221823089,131,2_selectproduct category-704 - /api/shoppingcart/items,200,,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,1581,1479,5,5,https://www.webstaurantstore.com/api/shoppingcart/items,131,0,0
1721221824071,223,2_selectproduct category-645 - /pinterestConversion,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-4,,true,,367,1349,5,5,https://stash.webstaurantstore.com/pinterestConversion,0,0,0
1721221824906,239,2_selectproduct category-709 - /facebookConversion,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-1,,true,,367,1975,5,5,https://stash.webstaurantstore.com/facebookConversion,0,0,0
1721221825888,96,2_selectproduct category-690 - /api/pagecreatorbanner,200,,bzm - Concurrency Thread Group-ThreadStarter 1-3,text,true,,600,1479,5,5,https://www.webstaurantstore.com/api/pagecreatorbanner,96,0,0
1721221826858,230,2_selectproduct category-644 - /facebookConversion,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-5,,true,,367,1955,5,5,https://stash.webstaurantstore.com/facebookConversion,0,0,0
1721221827703,98,2_selectproduct category-711 - /PageView,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-2,,true,,367,1362,5,5,https://stash.webstaurantstore.com/PageView,0,0,38
1721221828686,774,2_selectproduct category-672 - /outlet.html,200,,bzm - Concurrency Thread Group-ThreadStarter 1-4,text,true,,99999,1656,5,5,https://www.webstaurantstore.com/outlet.html?category=177ff40l,738,0,42
